"0","1332","upon"
"1","3672","according"
"2","247","scientist"
"3","2781","church"
"4","535","once"
"5","2423","nearly"
"6","2567","task"
"7","3163","cold"
"8","625","man"
"9","2931","themselves"
"10","968","amount"
"11","492","response"
"12","3963","letter"
"13","1332","movement"
"14","1485","street"
"15","3605","use"
"16","118","until"
"17","3552","although"
"18","512","not"
"19","552","book"
"20","3221","final"
"21","1698","leave"
"22","2897","short"
"23","1775","today"
"24","1293","until"
"25","127","else"
"26","1232","eight"
"27","2211","democratic"
"28","2548","simple"
"29","386","answer"
"30","2058","teach"
"31","231","behavior"
"32","1926","year"
"33","206","doctor"
"34","3161","risk"
"35","3042","in"
"36","1496","significant"
"37","3783","trial"
"38","717","include"
"39","827","sport"
"40","3345","first"
"41","1257","upon"
"42","2104","source"
"43","2046","environment"
"44","3218","believe"
"45","820","upon"
"46","2645","theory"
"47","2991","military"
"48","2827","relate"
"49","2737","everyone"
"50","1586","marriage"
"51","1911","prepare"
"52","1458","establish"
"53","3347","smile"
"54","3125","yeah"
"55","88","into"
"56","199","anyone"
"57","3108","doctor"
"58","1565","notice"
"59","1773","dream"
"60","2102","all"
"61","3415","national"
"62","811","break"
"63","2677","both"
"64","1499","heavy"
"65","2499","along"
"66","685","truth"
"67","276","day"
"68","639","develop"
"69","641","together"
"70","3549","movie"
"71","2583","cut"
"72","3816","music"
"73","1373","fund"
"74","3835","factor"
"75","1423","meet"
"76","1882","kitchen"
"77","3098","stand"
"78","3895","race"
"79","1332","prepare"
"80","2821","hand"
"81","1594","fill"
"82","179","throw"
"83","2345","recognize"
"84","3665","put"
"85","80","care"
"86","3859","recent"
"87","3544","expect"
"88","926","task"
"89","877","else"
"90","3554","behavior"
"91","312","difference"
"92","2143","financial"
"93","28","task"
"94","2135","he"
"95","2543","produce"
"96","1325","movie"
"97","3554","any"
"98","1612","book"
"99","3919","people"
"100","1238","natural"
"101","1379","realize"
"102","686","doctor"
"103","2501","maintain"
"104","1773","consumer"
"105","222","benefit"
"106","1601","outside"
"107","1665","challenge"
"108","3333","behavior"
"109","3145","product"
"110","2716","main"
"111","356","one"
"112","2676","traditional"
"113","2270","per"
"114","2618","check"
"115","345","minute"
"116","1057","do"
"117","735","significant"
"118","2963","significant"
"119","2247","else"
"120","3888","likely"
"121","3877","green"
"122","750","head"
"123","2301","as"
"124","1725","light"
"125","3140","whole"
"126","2548","occur"
"127","1187","available"
"128","2342","also"
"129","3827","agent"
"130","3051","add"
"131","306","before"
"132","3880","thought"
"133","3281","note"
"134","2418","able"
"135","2238","seven"
"136","3514","able"
"137","2665","only"
"138","943","key"
"139","2508","live"
"140","2078","similar"
"141","2376","leg"
"142","602","same"
"143","1821","pick"
"144","1389","now"
"145","1782","relate"
"146","3940","our"
"147","3741","visit"
"148","2102","provide"
"149","2942","fill"
"150","3632","wide"
"151","239","fire"
"152","48","school"
"153","2116","place"
"154","3194","at"
"155","1645","exactly"
"156","1882","fine"
"157","1335","full"
"158","2080","call"
"159","2254","forward"
"160","3694","energy"
"161","973","create"
"162","1956","later"
"163","3950","speech"
"164","30","line"
"165","681","computer"
"166","2051","maintain"
"167","3811","collection"
"168","1984","capital"
"169","522","rest"
"170","2906","represent"
"171","598","wind"
"172","1026","guy"
"173","1843","choice"
"174","314","including"
"175","552","body"
"176","2454","find"
"177","1087","number"
"178","2467","shake"
"179","422","computer"
"180","3378","carry"
"181","2977","you"
"182","1420","often"
"183","2156","management"
"184","3632","movement"
"185","158","conference"
"186","239","live"
"187","168","law"
"188","701","democratic"
"189","2126","leg"
"190","973","themselves"
"191","536","per"
"192","2526","shoulder"
"193","2773","audience"
"194","2512","human"
"195","151","third"
"196","1745","another"
"197","3145","teacher"
"198","2013","feeling"
"199","155","guy"
"200","1633","find"
"201","3663","reality"
"202","1698","space"
"203","872","music"
"204","170","financial"
"205","1994","few"
"206","3441","third"
"207","2779","career"
"208","1321","yet"
"209","2724","simply"
"210","3538","effort"
"211","597","office"
"212","1716","discuss"
"213","954","bed"
"214","2037","language"
"215","2762","hot"
"216","2143","south"
"217","2449","low"
"218","2579","member"
"219","10","at"
"220","3642","go"
"221","2169","than"
"222","799","statement"
"223","3951","democratic"
"224","1131","image"
"225","2175","whom"
"226","2375","establish"
"227","1569","administration"
"228","3234","recognize"
"229","3997","occur"
"230","2476","or"
"231","1687","arrive"
"232","2084","crime"
"233","3024","me"
"234","1473","he"
"235","3350","news"
"236","979","data"
"237","540","suggest"
"238","1180","decision"
"239","1604","glass"
"240","458","dog"
"241","3588","happy"
"242","2824","government"
"243","3633","white"
"244","1274","goal"
"245","2754","room"
"246","2083","pretty"
"247","226","reflect"
"248","3429","figure"
"249","472","word"
"250","477","yard"
"251","2787","clearly"
"252","1618","become"
"253","3796","return"
"254","2449","record"
"255","1291","meet"
"256","1502","campaign"
"257","2515","go"
"258","3473","over"
"259","1355","economic"
"260","3742","big"
"261","689","result"
"262","1266","agree"
"263","3345","draw"
"264","673","nothing"
"265","682","thousand"
"266","1083","body"
"267","12","small"
"268","520","any"
"269","677","skin"
"270","3938","throughout"
"271","1650","thing"
"272","2777","statement"
"273","3122","police"
"274","3238","term"
"275","3590","land"
"276","2120","son"
"277","1933","garden"
"278","3312","attack"
"279","1116","for"
"280","1692","road"
"281","464","anything"
"282","2148","out"
"283","821","can"
"284","3074","surface"
"285","137","weight"
"286","1576","ready"
"287","3299","step"
"288","3007","fish"
"289","2286","commercial"
"290","86","far"
"291","328","partner"
"292","1237","his"
