"0","39","827","2","10","False"
"1","188","672","196","11","False"
"2","138","2323","120","10","False"
"3","82","3973","103","16","False"
"4","29","807","145","6","False"
"5","39","3158","32","17","False"
"6","139","2291","47","17","False"
"7","52","3986","73","8","False"
"8","148","3642","49","16","False"
"9","99","1254","198","3","False"
"10","73","971","36","5","False"
"11","133","3378","138","19","False"
"12","158","3997","62","19","False"
"13","118","3840","164","11","False"
"14","86","448","21","3","False"
"15","112","1721","141","20","False"
"16","147","2120","127","4","False"
"17","117","1305","110","19","False"
"18","29","2332","82","17","False"
"19","11","1000","73","14","False"
"20","107","2158","87","3","False"
"21","67","940","114","1","False"
"22","167","2640","156","2","False"
"23","61","3828","115","5","False"
"24","191","3480","137","12","False"
"25","36","2495","169","6","False"
"26","43","1416","116","15","False"
"27","115","1398","155","16","False"
"28","87","2609","54","8","False"
"29","54","3169","162","2","False"
"30","59","244","121","18","False"
"31","20","3960","124","2","False"
"32","107","3862","151","12","False"
"33","50","3796","75","16","False"
"34","87","2198","170","8","False"
"35","122","3502","75","15","False"
"36","30","2666","125","18","False"
"37","148","1774","48","12","False"
"38","178","2985","12","17","False"
"39","127","3404","195","13","False"
"40","79","3499","174","1","False"
"41","16","2066","168","5","False"
"42","48","3632","113","7","False"
"43","63","2915","47","18","False"
"44","103","365","175","5","False"
"45","54","1593","145","5","False"
"46","134","2155","18","16","False"
"47","143","3500","147","17","False"
"48","18","172","110","9","False"
"49","107","3062","114","14","False"
"50","192","1423","166","17","False"
"51","170","3321","2","10","False"
"52","85","3664","159","1","False"
"53","31","54","76","4","False"
"54","175","1893","157","9","False"
"55","136","1868","75","13","False"
"56","24","1523","187","17","False"
"57","156","3640","199","14","False"
"58","129","2642","41","19","False"
"59","5","464","48","2","False"
"60","111","2499","197","10","False"
"61","41","668","178","6","False"
"62","106","3972","21","6","False"
"63","142","3950","47","8","False"
"64","20","1552","98","1","False"
"65","169","3528","40","11","False"
"66","137","512","158","13","False"
"67","45","3309","94","3","False"
"68","14","1297","73","20","False"
"69","8","3539","19","14","False"
"70","22","2502","36","16","False"
"71","44","818","134","2","False"
"72","147","2418","21","5","False"
"73","34","1068","1","7","False"
"74","189","3116","190","18","False"
"75","51","3972","148","9","False"
"76","120","3267","118","16","False"
"77","173","2692","66","11","False"
"78","113","722","19","13","False"
"79","135","3501","52","16","False"
"80","158","3983","108","7","False"
"81","144","2323","31","17","False"
"82","27","252","39","14","False"
"83","71","2703","134","20","False"
"84","31","221","35","2","False"
"85","51","1716","113","16","False"
"86","88","2566","167","1","False"
"87","71","492","193","14","False"
"88","191","3014","108","6","False"
"89","187","2972","67","6","False"
"90","74","872","61","3","False"
"91","169","239","192","9","False"
"92","106","433","143","9","False"
"93","15","3640","2","6","False"
"94","99","2972","109","10","False"
"95","97","3286","102","9","False"
"96","161","3758","74","8","False"
"97","94","2148","15","8","False"
"98","107","105","18","19","False"
"99","66","3884","12","7","False"
"100","162","2677","8","17","False"
"101","133","3149","90","13","False"
"102","158","3420","85","10","False"
"103","163","3575","117","1","False"
"104","35","172","5","12","False"
"105","33","1960","197","9","False"
"106","192","2545","185","13","False"
"107","3","3221","90","7","False"
"108","188","3850","171","1","False"
"109","4","3553","143","4","False"
"110","145","3476","106","19","False"
"111","145","979","133","4","False"
"112","32","1526","102","6","False"
"113","6","290","102","5","False"
"114","18","1301","82","16","False"
"115","120","122","93","20","False"
"116","169","3229","120","20","False"
"117","4","2294","126","16","False"
"118","141","320","98","8","False"
"119","146","2764","156","13","False"
"120","144","1719","197","16","False"
"121","109","3862","92","1","False"
"122","198","1131","138","15","False"
"123","88","3767","5","12","False"
"124","82","154","71","2","False"
"125","49","385","20","17","False"
"126","198","505","12","14","False"
"127","76","2559","29","18","False"
"128","44","599","35","20","False"
"129","147","3653","193","6","False"
"130","159","1266","78","4","False"
"131","130","1577","77","9","False"
"132","119","609","189","10","False"
"133","127","3051","199","11","False"
"134","89","618","170","6","False"
"135","151","1513","175","4","False"
"136","185","3117","163","6","False"
"137","84","3599","143","6","False"
"138","169","3267","41","18","False"
"139","158","3986","125","11","False"
