"0","97","3420","76","False"
"1","93","2558","18","True"
"2","166","1825","37","False"
"3","66","2323","3","False"
"4","5","2334","64","False"
"5","171","2413","100","False"
"6","72","1451","60","True"
"7","32","1192","14","True"
"8","53","3251","61","True"
"9","6","3305","13","False"
"10","108","1715","78","False"
"11","45","66","39","False"
"12","130","3019","2","True"
"13","42","1598","71","True"
"14","84","3193","73","False"
"15","60","3267","66","True"
"16","80","642","100","True"
"17","33","3712","23","True"
"18","149","1861","23","False"
"19","183","3227","62","False"
"20","147","3178","49","True"
"21","55","611","34","False"
"22","6","3503","14","False"
"23","112","1203","67","True"
"24","16","3043","3","False"
"25","71","2049","11","True"
"26","57","1389","44","False"
"27","8","2503","93","False"
"28","154","438","79","False"
"29","140","2214","81","True"
"30","16","2675","62","False"
"31","147","2642","93","False"
"32","149","3085","15","True"
"33","41","2521","74","True"
"34","70","1837","82","False"
"35","95","1396","62","True"
"36","102","3714","94","True"
"37","42","3046","31","True"
"38","178","1484","70","False"
"39","143","1389","14","True"
"40","20","742","92","True"
"41","138","1072","59","False"
"42","59","1237","68","False"
"43","180","1425","52","True"
"44","12","1055","71","False"
"45","69","2819","11","True"
"46","156","1455","68","True"
"47","168","1933","33","True"
"48","106","2685","71","False"
"49","151","2413","44","True"
"50","11","2052","78","True"
"51","59","102","18","True"
"52","3","3489","5","True"
"53","92","56","51","False"
"54","114","3476","96","True"
"55","26","3594","55","True"
"56","64","1050","39","True"
"57","73","3168","6","True"
"58","172","3421","30","True"
"59","4","3218","15","False"
"60","181","2769","13","False"
"61","32","3820","91","True"
"62","195","2165","91","False"
"63","102","1007","39","False"
"64","54","109","96","True"
"65","133","382","22","False"
"66","168","3850","53","False"
"67","46","3165","0","False"
"68","151","3847","21","True"
"69","80","473","44","False"
"70","109","101","36","False"
"71","152","2817","39","False"
"72","86","1594","87","True"
"73","124","3306","63","True"
"74","102","1628","50","True"
"75","127","175","8","True"
"76","97","3540","70","True"
"77","21","3977","73","True"
"78","19","3195","7","True"
"79","51","438","55","True"
"80","150","1549","69","True"
"81","89","3188","55","False"
"82","16","375","61","True"
"83","9","3677","81","True"
"84","13","2153","79","True"
"85","18","3083","49","True"
"86","179","51","28","False"
"87","115","1526","83","False"
"88","110","3275","96","False"
"89","79","1322","56","False"
"90","188","540","29","False"
"91","57","3559","48","True"
"92","182","1353","89","False"
"93","26","1068","46","True"
"94","2","977","88","True"
"95","177","1206","50","True"
"96","129","3389","67","True"
"97","170","3788","37","False"
"98","100","3406","90","True"
"99","96","261","31","True"
"100","113","3573","3","True"
"101","171","2429","35","False"
"102","54","3450","22","True"
"103","74","3628","19","False"
"104","26","2586","61","True"
"105","110","2652","63","True"
"106","27","122","43","True"
"107","66","3475","59","False"
"108","131","1697","41","True"
"109","68","3275","64","True"
"110","126","975","85","True"
"111","33","2713","72","True"
"112","51","1784","80","True"
"113","149","3415","71","True"
"114","154","2765","43","False"
"115","81","793","60","True"
"116","28","409","70","True"
"117","102","1451","48","False"
"118","61","1123","56","True"
"119","125","2750","40","False"
"120","189","1218","100","False"
"121","198","2139","59","False"
"122","73","905","92","True"
"123","78","2260","33","False"
"124","79","46","17","True"
"125","101","1252","35","True"
"126","60","2108","0","True"
"127","30","895","71","True"
"128","197","2602","17","True"
"129","41","462","4","True"
"130","22","3950","75","True"
"131","5","2253","24","True"
"132","54","1073","92","False"
"133","29","1175","51","True"
"134","81","1203","73","True"
"135","12","567","13","False"
"136","124","2082","39","False"
"137","32","1133","10","True"
"138","64","2610","68","True"
"139","101","114","1","True"
