"0","39","3774","2022-05-27 20:37:46"
"1","133","2008","2004-01-24 21:06:40"
"2","1","2205","2013-03-19 22:59:09"
"3","180","1196","1990-09-20 05:52:50"
"4","183","3338","2002-06-08 01:19:25"
"5","38","3620","1992-04-05 04:19:44"
"6","145","3976","1997-07-25 05:36:17"
"7","79","2546","1997-05-12 02:30:06"
"8","36","3699","2000-10-23 23:50:14"
"9","13","1758","1985-01-06 08:05:24"
"10","154","1351","1989-09-15 20:59:09"
"11","96","2636","1983-09-02 12:41:47"
"12","43","2969","1973-12-08 02:41:39"
"13","102","3536","2006-11-14 19:49:06"
"14","174","2928","2004-06-13 13:46:54"
"15","181","1545","2023-10-27 15:57:57"
"16","94","505","2006-01-09 16:11:09"
"17","164","2976","2023-01-12 01:08:11"
"18","188","1292","2018-05-08 10:26:18"
"19","46","3070","1970-11-19 13:55:02"
"20","67","1366","1980-10-15 02:41:04"
"21","96","3819","1981-03-23 22:06:45"
"22","72","1369","1988-06-04 01:46:27"
"23","38","101","1987-09-26 04:58:51"
"24","37","1692","2006-10-26 12:18:28"
"25","59","1450","1992-09-07 18:53:17"
"26","114","3106","2021-05-08 00:53:04"
"27","110","1260","1993-05-24 23:09:11"
"28","90","1693","1987-11-11 01:43:02"
"29","23","3332","1986-01-27 12:44:29"
"30","53","1861","1998-04-23 03:51:01"
"31","120","2109","1990-08-09 20:53:41"
"32","107","1641","1992-12-10 02:31:32"
"33","26","3230","2003-11-29 01:11:41"
"34","81","3496","1977-02-12 22:52:32"
"35","189","3917","1972-04-11 18:24:44"
"36","137","2448","1992-02-02 06:31:53"
"37","2","640","1986-04-06 07:54:04"
"38","58","2352","1992-08-28 00:07:08"
"39","158","3048","2012-04-23 07:55:34"
"40","141","1052","1993-06-03 23:22:23"
"41","126","3597","2007-01-03 09:51:42"
"42","145","2992","2008-01-28 06:42:25"
"43","16","2544","1996-01-19 19:26:06"
"44","100","1942","2009-10-10 13:19:47"
"45","51","1642","1974-12-05 21:02:17"
"46","131","3623","1973-08-18 22:41:49"
"47","191","3781","2018-12-20 02:24:58"
"48","192","2636","2022-04-29 14:09:05"
"49","82","561","2009-05-27 01:00:49"
"50","26","465","2004-08-02 14:18:58"
"51","194","926","1998-06-28 02:26:39"
"52","132","1597","2006-07-14 06:14:05"
"53","157","1646","1979-09-29 02:08:02"
"54","190","2480","2020-08-02 12:24:59"
"55","192","382","1979-07-06 18:27:57"
"56","149","1795","2008-01-11 00:01:24"
"57","172","798","2006-12-24 02:56:58"
"58","40","2790","2019-03-05 01:34:13"
"59","120","3496","1993-10-23 03:13:02"
"60","112","3052","1981-08-05 02:10:03"
"61","124","142","2002-11-14 12:01:19"
"62","92","1762","1977-09-12 20:05:32"
"63","61","3947","1981-10-12 23:39:37"
"64","111","1791","2020-08-11 08:27:45"
"65","165","2831","2019-12-02 03:37:51"
"66","43","2256","2017-07-21 09:16:54"
"67","115","914","1993-03-22 21:25:47"
"68","166","2399","1989-03-10 04:00:10"
"69","138","12","2012-04-21 13:56:15"
"70","151","3279","1999-12-15 18:00:39"
"71","116","3040","2019-08-25 06:29:47"
"72","138","348","1982-03-16 20:56:13"
"73","104","189","2011-06-09 13:59:06"
"74","102","1061","2013-08-10 03:24:14"
"75","22","3041","2008-08-12 05:48:53"
"76","39","2580","2001-10-12 03:59:07"
"77","118","2834","2000-07-18 02:23:36"
"78","57","2208","2019-01-02 08:43:08"
"79","50","3601","2006-11-20 21:38:16"
"80","29","1217","1977-01-28 04:35:37"
"81","134","3994","2002-04-06 00:54:15"
"82","23","2601","1994-06-03 05:27:48"
"83","66","3317","2012-01-26 02:59:52"
"84","70","1876","2010-03-20 22:02:41"
"85","0","1270","1980-09-16 10:52:21"
"86","185","1619","1970-10-04 06:00:06"
"87","50","2733","1999-02-04 22:12:12"
"88","3","3979","1980-09-29 09:30:06"
"89","120","45","1995-03-09 09:35:25"
"90","125","2450","1977-02-10 03:53:47"
"91","44","2636","1975-12-02 03:37:37"
"92","42","1360","2016-04-01 10:55:47"
"93","101","2128","2019-01-23 12:46:37"
"94","69","662","2015-05-06 13:04:56"
"95","157","2248","2019-10-31 09:51:11"
"96","39","2388","1982-11-09 21:35:26"
"97","159","2493","2022-07-23 02:12:15"
"98","45","3317","2015-06-10 07:21:38"
"99","7","293","1979-01-05 23:26:53"
"100","69","1107","1977-05-13 00:10:58"
"101","135","784","2015-08-16 22:54:28"
"102","131","3508","1994-03-26 11:23:04"
"103","28","2288","1994-04-15 10:24:22"
"104","96","999","2023-05-01 05:19:01"
"105","169","669","2011-05-31 13:26:27"
"106","114","2330","1979-02-09 20:44:48"
"107","88","826","2010-07-24 00:00:12"
"108","103","3380","1991-01-21 12:47:39"
"109","194","157","2008-04-09 04:49:36"
"110","39","2733","1990-12-21 17:51:21"
"111","192","1795","2019-05-06 22:34:01"
